polarity,polarity value,match,match length (words),coverage (%)
negative,-0.15415999999999996,get it straight no one can do church university preach gospel plant,12,66.66666666666666
positive,0.34355,game day university mary anderson stadium,6,50.0
positive,0.89122,as investment run away but silence who he all about job,11,57.89473684210527
positive,1.3245899999999997,very blessed have received an offer kentucky wesleyan university thank,10,58.82352941176471
positive,0.9713499999999999,au blackface so much potential kid be president canada,9,56.25
positive,0.11075,ada someone do it sponsor canada,6,46.15384615384615
positive,1.5460299999999998,proud say ill be playing baseball at university texas dallas next year so grateful opportunity an,16,69.56521739130434
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.47323000000000004,there are in canada while million people live poverty not exist,11,73.33333333333333
positive,0.6335099999999999,at a white supremacist kid calling me,7,41.17647058823529
negative,-0.02098999999999998,country problem e pass jesus,5,83.33333333333334
positive,0.98861,now a days can rob young fella pride joy house but taking canada goose jacket,15,71.42857142857143
negative,-0.38372,otter carnage,2,66.66666666666666
negative,-0.31449000000000005,banks make liable steal canadian government needs ba,8,47.05882352941176
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.71421,sweden hardly safe some are true,6,66.66666666666666
positive,0.9911799999999998,getting a lot on about canada so guessing i have go at some point,14,70.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.11075,o do brasil de dos,5,50.0
negative,-0.47853,le va est a tout canada,6,37.5
positive,0.26987,more barrels oil are have a leak in keystone pipeline north dakota t,13,59.09090909090909
positive,1.53381,e today a graduate university economics first class eyesight might be hereditary,12,63.1578947368421
positive,0.9268599999999999,special thanks amp talking about on afternoon news,8,61.53846153846154
neutral,0.0,meanwhile in canada,3,75.0
positive,0.44355999999999995,alberta going through times previous years yes it rest fault not,11,50.0
negative,-0.36563999999999997,au canada le show de toronto ontario creek soon gabriel father a not,13,68.42105263157895
negative,-0.45165,two teens charged in series violent,6,42.857142857142854
positive,0.8013999999999999,pleased welcome g ben central wi back u,8,47.05882352941176
positive,0.8666299999999999,health canada a very small amount pure fentanyl about size few salt enough kill av,15,68.18181818181817
negative,-0.28576999999999997,no a se,3,25.0
positive,0.88951,june celebrity billiards help stay in canada sign petition,9,64.28571428571429
neutral,0.0,austria finland iceland france,4,30.76923076923077
positive,0.19290999999999997,two manitoba have tapped way an international dance competition later month in germany te,14,73.68421052631578
positive,0.47465999999999997,together latest in irrigation water management by exhibitor d,9,60.0
positive,1.54421,pursuing social justice urban agriculture through two food in,9,52.94117647058824
positive,2.01753,weekly do realize there a huge win on trade mexico canada waiting congress pass right but,16,61.53846153846154
positive,0.9896299999999999,me deeply joined board help change amp legacy,8,42.10526315789473
positive,0.73559,so beautiful tree sky spring toronto ontario travel blog,9,69.23076923076923
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,0.52859,almost time rainbow six siege university join us first map border,11,61.111111111111114
positive,0.46391,manque de ce nest la immigrant,6,30.0
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
neutral,0.0,university ni,2,18.181818181818183
positive,0.84898,i a lot same also twin sister who drove,9,56.25
negative,-1.30138,attack on devastating president certainly reduction th,7,46.666666666666664
neutral,0.0,eastern new mexico university texas permian basin college football sat,10,71.42857142857143
positive,1.6866400000000001,canada gift card or email delivery watch count,8,80.0
positive,0.6306999999999999,not one national academy science professional society a major university anywhere in world,13,72.22222222222221
positive,0.40604,lose love me apple,4,25.0
positive,0.41236000000000006,none not really interested in or at moment more on,10,62.5
negative,-0.10109000000000001,thread miss any coverage leading up game at portland state toda,11,73.33333333333333
positive,1.08861,exactly why i have long integration more scientific research mainstream journalism read far,13,61.904761904761905
positive,0.31722,first football game at portland state in worth circumstances,9,60.0
positive,0.63626,making most opportunity at new spot on offensive line,9,60.0
positive,2.58265,also i know time in canada vancouver feel free fabulous there gay power,13,65.0
positive,0.11969,montana at portland state watch,5,62.5
positive,1.155,desire real extra sheet i not collect in university days am using do,13,59.09090909090909
negative,-0.16108,notebook montana trying figure out portland vexing flex defense dante honored,11,73.33333333333333
negative,-0.00656000000000001,who bad here not pharmacist overdose epidemic as a public health,11,57.89473684210527
negative,-0.06892999999999999,voice matt ahead game at portland state,7,50.0
neutral,0.0,l country are,3,37.5
positive,1.00548,remember name portland a te drawing interest,7,53.84615384615385
positive,0.38034999999999997,montana senior angel adversity on off football field,8,53.333333333333336
positive,0.43537,unbelievable resignation not fit lead far still go,8,47.05882352941176
neutral,0.0,fighting game tournament year happening weekend at,7,53.84615384615385
positive,0.11927000000000004,five things watch no montana portland state seeking redemption,9,81.81818181818183
positive,0.041700000000000015,street party in history will be held day trump out office or off,13,61.904761904761905
positive,0.7299,press freedom spain,3,25.0
positive,0.55319,imo every province keep tax cycle same amount back pro,10,66.66666666666666
positive,1.09428,house while energy leave canada in leaving many friendly out,10,55.55555555555556
positive,1.6435300000000002,daughter greatest university on planet i am a proud mom,10,66.66666666666666
negative,-0.5194,worried now more ever about rcmp investigating obstruction statement by liberal mps,12,63.1578947368421
negative,-0.24354,miss sa gang de pu traverser par,7,36.84210526315789
positive,0.51105,i just a woman in hubbard pop who new inhaler costs but fewer old one,15,65.21739130434783
positive,0.7617700000000001,sea ice normally found just off north slope right now away migrate near it ever,15,68.18181818181817
negative,-0.20643,antidepressant taken people,3,25.0
positive,0.08078,university pike amp trent are ready first time in history two ri,12,54.54545454545454
positive,0.29298,person hard at school university up a business works all hours,11,52.38095238095239
positive,1.08861,exactly why i have long integration more scientific research mainstream journalism read far,13,61.904761904761905
positive,0.76504,i need some help folks get tool out as many choose t,12,52.17391304347826
positive,2.36339,good day sir name a fresh graduate in need job i studied,12,63.1578947368421
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
negative,-0.07997,he also proclaimed as new president haiti,7,70.0
neutral,0.0,des de la fe,4,44.44444444444444
positive,0.64658,brilliant,1,100.0
positive,0.65365,joseph i guess a brown skin person be born in canada also return t,14,77.77777777777779
positive,0.59946,trump another university success story,5,83.33333333333334
positive,1.6970399999999999,it will however affect pay tax canada can kiss revenue goodbye thanks bill,13,81.25
positive,0.68802,wu cole will play on a line overall pick,9,52.94117647058824
positive,0.7299,press freedom spain,3,25.0
neutral,0,,0,0.0
negative,-0.20643,antidepressant taken people,3,25.0
positive,0.22740000000000005,as critical momentum on china venezuela,6,46.15384615384615
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
negative,-0.44342,shot near other shooting in toronto friday,7,46.666666666666664
negative,-0.01404,are hardly university challenge,4,44.44444444444444
positive,0.55794,congratulations up creek,3,60.0
positive,0.70543,curvy amp oh so sexy ur typical me,8,50.0
positive,0.30305,time diversify say on th december c,7,41.17647058823529
positive,0.74133,east central harding university college football sat nov pm live streaming,11,84.61538461538461
positive,0.29627000000000003,just said canadian weed mid can specify in canada here there,11,64.70588235294117
positive,0.35402,canada x mercy,3,30.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.14713,mit tag berlin amp,4,30.76923076923077
positive,0.07545,just canada by,3,17.647058823529413
positive,0.00759,are canada most haunted,4,40.0
positive,0.4608899999999999,put partisanship aside american first give economy a boost by passing u,12,63.1578947368421
positive,0.62974,oil cant be off fossil fuel tell us nothing see here at a moment,14,60.86956521739131
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,0.03843999999999999,absolute written by a left wing,6,54.54545454545454
positive,0.18576,programming coming canada,3,37.5
positive,0.71236,monthly on here are top most unique last month,9,56.25
positive,0.96842,elder spoke about true happiness saint at,7,53.84615384615385
positive,0.9773700000000001,in addition america by statute pay overhead on health huge,10,66.66666666666666
negative,-0.15415999999999996,get it straight no one can do church university preach gospel plant,12,66.66666666666666
positive,0.93443,da de a chance win an official puck amp set,10,47.61904761904761
positive,1.1711,just canada ceo oscar he confident there will be a hour channel,12,60.0
positive,0.1552,today in,2,66.66666666666666
positive,0.39696,always finer at pennsylvania state university in,7,70.0
positive,0.9267700000000001,first solo community airdrop will start in only hours worth be distributed no purchase r,15,83.33333333333334
positive,0.29298,person hard at school university up a business works all hours,11,52.38095238095239
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.13133,a family neither parent or guardian degree higher college university,10,55.55555555555556
positive,1.2207,younger sis finished on thursday needs a job can kindly help out preferably i,14,58.333333333333336
positive,0.5816,favorite hail university maryland college park,6,42.857142857142854
positive,0.29001,combine farce do get,4,44.44444444444444
positive,1.67743,why i have left family a good job warmer weather behind come t,13,68.42105263157895
positive,2.0028400000000004,senior day have a whopping celebrate today come out support as,11,57.89473684210527
positive,0.38243,will be streaming on it in us canada netherlands australia new zealand,12,66.66666666666666
positive,0.04128,de a y en colombia,5,31.25
positive,0.37735,most reputable net,3,23.076923076923077
positive,0.06866,why university going viral on rn,6,54.54545454545454
negative,-0.026670000000000027,fine though charlotte packed winter canada shielded,7,50.0
positive,1.08861,exactly why i have long integration more scientific research mainstream journalism read far,13,61.904761904761905
positive,0.29298,person hard at school university up a business works all hours,11,52.38095238095239
positive,0.6857800000000001,johnson man almost bring tears up there nothing i want in world see t,14,56.00000000000001
positive,1.04946,blessed humbled have received second offer university,7,46.666666666666664
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.57712,part time campus needed ambassador must be an student,9,52.94117647058824
positive,0.38342999999999994,clarity broke ethics amp parliament attempt support felon while i,10,62.5
positive,0.12208,toronto bc best weed in canada,6,66.66666666666666
positive,0.51753,sorry uk currently unsure about be good or bad a prime minister who studied,14,58.333333333333336
negative,-0.17073,current pirate alum robert weber college tournament won lb title,10,66.66666666666666
negative,-0.5194,worried now more ever about rcmp investigating obstruction statement by liberal mps,12,63.1578947368421
positive,0.42007000000000005,nazi concentration make montreal debut,5,50.0
positive,1.4536799999999999,win free level tweet enter by on,7,43.75
negative,-0.86982,noon fall off menace x video out on now falloff,10,62.5
negative,-0.19145,chance canada kept out by left in q,8,66.66666666666666
positive,0.30052999999999996,trying get f ever more popular in usa yet qualifying coverage simulcast s,13,76.47058823529412
positive,1.08861,exactly why i have long integration more scientific research mainstream journalism read far,13,61.904761904761905
negative,-0.09554000000000001,baby perform at southern university despite not getting paid,9,69.23076923076923
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
negative,-0.20643,antidepressant taken people,3,25.0
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,0.84373,i believe a prime minister canada have ability fire premier any province are not acting in,16,69.56521739130434
positive,0.37167,matter university baby,3,60.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,1.9990899999999998,excited announce release powerful interview at next week tune in canada o,12,63.1578947368421
positive,0.6306999999999999,not one national academy science professional society a major university anywhere in world,13,72.22222222222221
positive,0.17191,over on field by university president,6,46.15384615384615
positive,2.7655499999999997,i am incredibly grateful honored beyond excited say have verbally committed play softball at,14,70.0
neutral,0,,0,0.0
positive,0.38159,head currently speaking at th hahn colloquium in korean humanities george washington,12,63.1578947368421
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.8454699999999999,on bright side kid in black face a shot at being governor,12,75.0
negative,-0.31449000000000005,banks make liable steal canadian government needs ba,8,47.05882352941176
negative,-0.04273000000000001,canada a very bad record it treatment people documented in many ways most,13,56.52173913043478
positive,0.47351999999999994,have not become once do realise labour are penny v,10,55.55555555555556
positive,0.35402,canada x mercy,3,30.0
positive,0.455,government wont fix will manus nauru,6,60.0
positive,1.5229,i am excited announce will be continuing academic athletic career at university,12,60.0
neutral,0,,0,0.0
neutral,0,,0,0.0
positive,0.80138,a dream i am so sorry but it be done,10,76.92307692307693
neutral,0,,0,0.0
negative,-0.006089999999999929,going copy on response an issue not,7,43.75
positive,0.10392999999999997,graduated cum boston university won election in a barely college,10,55.55555555555556
positive,0.6858199999999999,important lot major university city are labour will be returning home,11,64.70588235294117
neutral,0.0,kennedy state takeover o,4,66.66666666666666
positive,1.7573199999999998,interesting discussion a thorough review might also explore giving rebel founder run party amp neither he,16,80.0
